nse_ticker,custom_basic_industry
# Power & Infra EPC
KEC,Power & Infra EPC
KALPATPOWR,Power & Infra EPC
KPIL,Power & Infra EPC
POWERMECH,Power & Infra EPC
ENGINERSIN,Power & Infra EPC
ISGEC,Power & Infra EPC
TECHNOE,Power & Infra EPC
SWSOLAR,Power & Infra EPC
SOLARWORLD,Power & Infra EPC
TICL,Power & Infra EPC
LIKHITHA,Power & Infra EPC

# Roads & Highway EPC
IRB,Roads & Highway EPC
ASHOKA,Roads & Highway EPC
BRNL,Roads & Highway EPC
HECPROJECT,Roads & Highway EPC
NBCC,Roads & Highway EPC

# Water & Environment EPC
JPASSOCIAT,Water & Infra EPC

# ── Realty → by size ──────────────────────────────────────────────────────────
# Realty - Large Cap
DLF,Realty - Large Cap
GODREJPROP,Realty - Large Cap
OBEROIRLTY,Realty - Large Cap
LODHA,Realty - Large Cap
PRESTIGE,Realty - Large Cap
PHOENIXLTD,Realty - Large Cap
BRIGADE,Realty - Large Cap

# Realty - Mid Cap
SOBHA,Realty - Mid Cap
MAHLIFE,Realty - Mid Cap
SUNTECK,Realty - Mid Cap
KOLTEPATIL,Realty - Mid Cap
PURVA,Realty - Mid Cap
RUSTOMJEE,Realty - Mid Cap
ASHIANA,Realty - Mid Cap
MAXESTATES,Realty - Mid Cap
ANANTRAJ,Realty - Mid Cap
ARVSMART,Realty - Mid Cap
SIGNATURE,Realty - Mid Cap
SHRIRAMPPS,Realty - Mid Cap
TARC,Realty - Mid Cap
RAYMONDREL,Realty - Mid Cap

# Realty - Small Cap
ABREL,Realty - Small Cap
AGIIL,Realty - Small Cap
AJMERA,Realty - Small Cap
ALEMBICLTD,Realty - Small Cap
AMJLAND,Realty - Small Cap
ARIHANTSUP,Realty - Small Cap
ARKADE,Realty - Small Cap
ARTNIRMAN,Realty - Small Cap
ATALREAL,Realty - Small Cap
CCCL,Realty - Small Cap
CINEVISTA,Realty - Small Cap
COUNCODOS,Realty - Small Cap
DBREALTY,Realty - Small Cap
ELDEHSG,Realty - Small Cap
EMAMIREAL,Realty - Small Cap
GANESHHOU,Realty - Small Cap
GEECEE,Realty - Small Cap
GENCON,Realty - Small Cap
HUBTOWN,Realty - Small Cap
KALPATARU,Realty - Small Cap
LOTUSDEV,Realty - Small Cap
MANINFRA,Realty - Small Cap
MARATHON,Realty - Small Cap
MODIS,Realty - Small Cap
NILAINFRA,Realty - Small Cap
NILASPACES,Realty - Small Cap
OMAXE,Realty - Small Cap
PANSARI,Realty - Small Cap
PARSVNATH,Realty - Small Cap
PENINLAND,Realty - Small Cap
PRAENG,Realty - Small Cap
PROZONER,Realty - Small Cap
PVP,Realty - Small Cap
RVHL,Realty - Small Cap
SBGLP,Realty - Small Cap
SHRADHA,Realty - Small Cap
SURAJEST,Realty - Small Cap
SUMIT,Realty - Small Cap
SUPREME,Realty - Small Cap
UNITECH,Realty - Small Cap
VASCONEQ,Realty - Small Cap

# ── Textiles → by product type ───────────────────────────────────────────────
# Textiles - Spinning & Yarn
ABCOTS,Textiles - Spinning & Yarn
AKSHAR,Textiles - Spinning & Yarn
AMBIKCO,Textiles - Spinning & Yarn
BASML,Textiles - Spinning & Yarn
LAGNAM,Textiles - Spinning & Yarn
LAMBODHARA,Textiles - Spinning & Yarn
NAHARINDUS,Textiles - Spinning & Yarn
NAHARSPING,Textiles - Spinning & Yarn
NITINSPIN,Textiles - Spinning & Yarn
PASHUPATI,Textiles - Spinning & Yarn
SALONA,Textiles - Spinning & Yarn
SELMC,Textiles - Spinning & Yarn
SANGAMIND,Textiles - Spinning & Yarn
SPORTKING,Textiles - Spinning & Yarn
SUPERSPIN,Textiles - Spinning & Yarn
SURYALAXMI,Textiles - Spinning & Yarn

# Textiles - Weaving & Fabric
BANSWRAS,Textiles - Weaving & Fabric
BOMDYEING,Textiles - Weaving & Fabric
BSL,Textiles - Weaving & Fabric
CENTENKA,Textiles - Weaving & Fabric
DAMODARIND,Textiles - Weaving & Fabric
DCMNVL,Textiles - Weaving & Fabric
DCMSIL,Textiles - Weaving & Fabric
DONEAR,Textiles - Weaving & Fabric
DIGJAMLMTD,Textiles - Weaving & Fabric
FILATEX,Textiles - Weaving & Fabric
GHCLTEXTIL,Textiles - Weaving & Fabric
HIMATSEIDE,Textiles - Weaving & Fabric
ICIL,Textiles - Weaving & Fabric
INDORAMA,Textiles - Weaving & Fabric
JINDWORLD,Textiles - Weaving & Fabric
KESORAMIND,Textiles - Weaving & Fabric
KPRMILL,Textiles - Weaving & Fabric
MARALOVER,Textiles - Weaving & Fabric
NDL,Textiles - Weaving & Fabric
PARAMOUNT,Textiles - Weaving & Fabric
PIONEEREMB,Textiles - Weaving & Fabric
RELCHEMQ,Textiles - Weaving & Fabric
RUBYMILLS,Textiles - Weaving & Fabric
RSWM,Textiles - Weaving & Fabric
SANATHAN,Textiles - Weaving & Fabric
SARLAPOLY,Textiles - Weaving & Fabric
SHEKHAWATI,Textiles - Weaving & Fabric
SHIVATEX,Textiles - Weaving & Fabric
SHIVAMILLS,Textiles - Weaving & Fabric
SIYSIL,Textiles - Weaving & Fabric
SGL,Textiles - Weaving & Fabric
SRTL,Textiles - Weaving & Fabric
SUMEETINDS,Textiles - Weaving & Fabric
SUTLEJTEX,Textiles - Weaving & Fabric
TRIDENT,Textiles - Weaving & Fabric
VARDHACRLC,Textiles - Weaving & Fabric
VCL,Textiles - Weaving & Fabric
VGL,Textiles - Weaving & Fabric
VTL,Textiles - Weaving & Fabric
UNITEDPOLY,Textiles - Weaving & Fabric
WEIZMANIND,Textiles - Weaving & Fabric
WELSPUNLIV,Textiles - Weaving & Fabric
MODTHREAD,Textiles - Weaving & Fabric
MOHITIND,Textiles - Weaving & Fabric
MANOMAY,Textiles - Weaving & Fabric
NAGREEKEXP,Textiles - Weaving & Fabric
RAYMONDSQL,Textiles - Weaving & Fabric
RAYMONDLSL,Textiles - Weaving & Fabric
MHLXMIRU,Textiles - Weaving & Fabric
MFML,Textiles - Weaving & Fabric
GLOBE,Textiles - Weaving & Fabric
ALOKINDS,Textiles - Weaving & Fabric
ASHIMASYN,Textiles - Weaving & Fabric
AYMSYNTEX,Textiles - Weaving & Fabric
BHANDARI,Textiles - Weaving & Fabric
FLEXITUFF,Textiles - Weaving & Fabric
GANECOS,Textiles - Weaving & Fabric
GINNIFILA,Textiles - Weaving & Fabric
INDIANCARD,Textiles - Weaving & Fabric
ORBTEXP,Textiles - Weaving & Fabric

# Technical & Specialty Textiles
GARFIBRES,Technical & Specialty Textiles
AARNAV,Technical & Specialty Textiles

# ── Iron & Steel Products → by type ──────────────────────────────────────────
# Steel Tubes & Pipes
APLAPOLLO,Steel Tubes & Pipes
JTLIND,Steel Tubes & Pipes
HITECH,Steel Tubes & Pipes
JINDALSAW,Steel Tubes & Pipes
WELCORP,Steel Tubes & Pipes
MAHSEAMLES,Steel Tubes & Pipes
RATNAMANI,Steel Tubes & Pipes
RATNAVEER,Steel Tubes & Pipes
HARIOMPIPE,Steel Tubes & Pipes
GANDHITUBE,Steel Tubes & Pipes
VENUSPIPES,Steel Tubes & Pipes
SCODATUBES,Steel Tubes & Pipes
VSTL,Steel Tubes & Pipes
SURAJLTD,Steel Tubes & Pipes

# Steel Products - Wire & Others
BANSALWIRE,Steel Products - Wire & Misc
BHARATWIRE,Steel Products - Wire & Misc
DPWIRES,Steel Products - Wire & Misc
ELECTCAST,Steel Products - Wire & Misc
ELECTHERM,Steel Products - Wire & Misc
HISARMETAL,Steel Products - Wire & Misc
INCREDIBLE,Steel Products - Wire & Misc
JAYNECOIND,Steel Products - Wire & Misc
JSWISPL,Steel Products - Wire & Misc
KAMDHENU,Steel Products - Wire & Misc
KRITIKA,Steel Products - Wire & Misc
KSL,Steel Products - Wire & Misc
MANINDS,Steel Products - Wire & Misc
MANAKCOAT,Steel Products - Wire & Misc
MANAKSIA,Steel Products - Wire & Misc
MSPL,Steel Products - Wire & Misc
MWL,Steel Products - Wire & Misc
PRAKASHSTL,Steel Products - Wire & Misc
RAMASTEEL,Steel Products - Wire & Misc
RHETAN,Steel Products - Wire & Misc
RSL,Steel Products - Wire & Misc
RUDRA,Steel Products - Wire & Misc
SAMBHV,Steel Products - Wire & Misc
SBCL,Steel Products - Wire & Misc
SHAH,Steel Products - Wire & Misc
SHAHALLOYS,Steel Products - Wire & Misc
SHYAMMETL,Steel Products - Wire & Misc
SMLT,Steel Products - Wire & Misc
STEELXIND,Steel Products - Wire & Misc
SUNFLAG,Steel Products - Wire & Misc
SURYAROSNI,Steel Products - Wire & Misc
TEMBO,Steel Products - Wire & Misc
TIIL,Steel Products - Wire & Misc
USHAMART,Steel Products - Wire & Misc
VMSTMT,Steel Products - Wire & Misc
VSSL,Steel Products - Wire & Misc
ZENITHSTL,Steel Products - Wire & Misc
GALLANTT,Steel Products - Wire & Misc
GEEKAYWIRE,Steel Products - Wire & Misc
GOODLUCK,Steel Products - Wire & Misc
GPIL,Steel Products - Wire & Misc
AEROFLEX,Steel Products - Wire & Misc
AEROENTER,Steel Products - Wire & Misc

# ── Diversified Commercial Services → by type ────────────────────────────────
# Staffing & HR Services
QUESS,Staffing & HR Services
TEAMLEASE,Staffing & HR Services

# Facility Management & Outsourcing
KRYSTAL,Facility Management
RADIANTCMS,Facility Management
SANGHVIMOV,Facility Management
CMSINFO,Facility Management

# Co-working & Real Estate Services
AWFIS,Co-working & Office Spaces
DEVX,Co-working & Office Spaces
SMARTWORKS,Co-working & Office Spaces
WEWORK,Co-working & Office Spaces
INDIQUBE,Co-working & Office Spaces

# Commercial Services - Other
ACEINTEG,Commercial Services - Other
AARVI,Commercial Services - Other
ALANKIT,Commercial Services - Other
BLUSPRING,Commercial Services - Other
CORALFINAC,Commercial Services - Other
EFCIL,Commercial Services - Other
FMNL,Commercial Services - Other
HEMIPROP,Commercial Services - Other
IBULLSLTD,Commercial Services - Other
IGIL,Commercial Services - Other
INOXGREEN,Commercial Services - Other
MOTOGENFIN,Commercial Services - Other
NESCO,Commercial Services - Other
PTL,Commercial Services - Other
RUCHINFRA,Commercial Services - Other
SOUTHWEST,Commercial Services - Other
TARACHAND,Commercial Services - Other
TEXINFRA,Commercial Services - Other
UDS,Commercial Services - Other

# ── Investment Company → by type ──────────────────────────────────────────────
# Strategic Holding Companies
ABCAPITAL,Strategic Holding Companies
BAJAJFINSV,Strategic Holding Companies
BAJAJHLDNG,Strategic Holding Companies
LTF,Strategic Holding Companies
JIOFIN,Strategic Holding Companies
CHOLAHLDNG,Strategic Holding Companies
TVSHLTD,Strategic Holding Companies

# Investment Companies - Diversified
3PLAND,Investment Companies - Diversified
BLAL,Investment Companies - Diversified
GKWLIMITED,Investment Companies - Diversified
HEXATRADEX,Investment Companies - Diversified
IITL,Investment Companies - Diversified
JINDALPHOT,Investment Companies - Diversified
JPOLYINVST,Investment Companies - Diversified
JSWHL,Investment Companies - Diversified
KICL,Investment Companies - Diversified
LFIC,Investment Companies - Diversified
MAHSCOOTER,Investment Companies - Diversified
MASKINVEST,Investment Companies - Diversified
NAGREEKCAP,Investment Companies - Diversified
NAHARCAP,Investment Companies - Diversified
NSIL,Investment Companies - Diversified
OSWALGREEN,Investment Companies - Diversified
PILANIINVS,Investment Companies - Diversified
PNBGILTS,Investment Companies - Diversified
SCILAL,Investment Companies - Diversified
SILINV,Investment Companies - Diversified
STEL,Investment Companies - Diversified
SUMMITSEC,Investment Companies - Diversified
TATAINVEST,Investment Companies - Diversified
TSFINV,Investment Companies - Diversified
VHL,Investment Companies - Diversified
VLSFINANCE,Investment Companies - Diversified
WELINV,Investment Companies - Diversified
WILLAMAGOR,Investment Companies - Diversified
NDGL,Investment Companies - Diversified
RELIGARE,Investment Companies - Diversified

# ── Packaging → split ────────────────────────────────────────────────────────
# Flexible & Film Packaging
COSMOFIRST,Flexible & Film Packaging
EPL,Flexible & Film Packaging
HUHTAMAKI,Flexible & Film Packaging
ESTER,Flexible & Film Packaging
JINDALPOLY,Flexible & Film Packaging
POLYPLEX,Flexible & Film Packaging
UFLEX,Flexible & Film Packaging
TCPLPACK,Flexible & Film Packaging

# Rigid & Industrial Packaging
AGI,Rigid & Industrial Packaging
AMDIND,Rigid & Industrial Packaging
ANTGRAPHIC,Rigid & Industrial Packaging
ARROWGREEN,Rigid & Industrial Packaging
BBTCL,Rigid & Industrial Packaging
BALAJEE,Rigid & Industrial Packaging
COMSYN,Rigid & Industrial Packaging
EMMBI,Rigid & Industrial Packaging
GUJRAFFIA,Rigid & Industrial Packaging
HITECHCORP,Rigid & Industrial Packaging
KANPRPLA,Rigid & Industrial Packaging
MOLDTKPAC,Rigid & Industrial Packaging
NAHARPOLY,Rigid & Industrial Packaging
ORIENTLTD,Rigid & Industrial Packaging
ORICONENT,Rigid & Industrial Packaging
PYRAMID,Rigid & Industrial Packaging
RPPL,Rigid & Industrial Packaging
SHREERAMA,Rigid & Industrial Packaging
TINPLATE,Rigid & Industrial Packaging
TPLPLASTEH,Rigid & Industrial Packaging
WORTHPERI,Rigid & Industrial Packaging
XPROINDIA,Rigid & Industrial Packaging

# ── Castings & Forgings (non-auto) ───────────────────────────────────────────
AIAENG,Industrial Castings & Forgings
BALUFORGE,Industrial Castings & Forgings
GANGAFORGE,Industrial Castings & Forgings
HAPPYFORGE,Industrial Castings & Forgings
HILTON,Industrial Castings & Forgings
KALYANIFRG,Industrial Castings & Forgings
NELCAST,Industrial Castings & Forgings
SGIL,Industrial Castings & Forgings
STEELCAS,Industrial Castings & Forgings
TIRUPATIFL,Industrial Castings & Forgings

# ── Hotels & Resorts → by type ───────────────────────────────────────────────
# Premium Hotels
INDHOTEL,Premium Hotels
CHALET,Premium Hotels
ITCHOTELS,Premium Hotels
EIHOTEL,Premium Hotels
THELEELA,Premium Hotels
JUNIPER,Premium Hotels
VENTIVE,Premium Hotels
SAMHI,Premium Hotels

# Mid & Budget Hotels
LEMONTREE,Mid & Budget Hotels
MHRIL,Mid & Budget Hotels
TAJGVK,Mid & Budget Hotels
PARKHOTELS,Mid & Budget Hotels
ORIENTHOT,Mid & Budget Hotels
ADVANIHOTR,Mid & Budget Hotels
ADVENTHTL,Mid & Budget Hotels
AHLEAST,Mid & Budget Hotels
ASIANHOTNR,Mid & Budget Hotels
BLUECOAST,Mid & Budget Hotels
BRIGHOTEL,Mid & Budget Hotels
BYKE,Mid & Budget Hotels
CCHHL,Mid & Budget Hotels
EIHAHOTELS,Mid & Budget Hotels
HAVISHA,Mid & Budget Hotels
HLVLTD,Mid & Budget Hotels
ITDC,Mid & Budget Hotels
KAMATHOTEL,Mid & Budget Hotels
KAUSHALYA,Mid & Budget Hotels
APOLSINHOT,Mid & Budget Hotels
RHL,Mid & Budget Hotels
ROHLTD,Mid & Budget Hotels
SINCLAIR,Mid & Budget Hotels
TGBHOTELS,Mid & Budget Hotels

# ── Compressors Pumps & Diesel Engines → split ────────────────────────────
CUMMINSIND,Industrial Engines & Compressors
ELGIEQUIP,Industrial Engines & Compressors
INGERRAND,Industrial Engines & Compressors
KIRLOSBROS,Industrial Pumps
KIRLOSENG,Industrial Pumps
KIRLPNU,Industrial Pumps
KSB,Industrial Pumps
LATTEYS,Industrial Pumps
OSWALPUMPS,Industrial Pumps
ROTO,Industrial Pumps
SHAKTIPUMP,Industrial Pumps
SWARAJENG,Industrial Engines & Compressors
GREAVESCOT,Industrial Engines & Compressors

# ── Housing Finance Company → single group (already fine) ─────────────────
# Already well-sized, but consolidate naming
AADHARHFC,Housing Finance Company
AAVAS,Housing Finance Company
APTUS,Housing Finance Company
CANFINHOME,Housing Finance Company
GICHSGFIN,Housing Finance Company
HOMEFIRST,Housing Finance Company
LICHSGFIN,Housing Finance Company
INDIASHLTR,Housing Finance Company
PNBHOUSING,Housing Finance Company
REPCOHOME,Housing Finance Company
SAMMAANCAP,Housing Finance Company
SRGHFL,Housing Finance Company
BAJAJHFL,Housing Finance Company

# ── Fix uncovered tickers in already-split groups ─────────────────────────────
ANUHPHR,Pharma - Small Cap & Niche
CORONA,Pharma - Small Cap & Niche
ENDURANCE,Auto Components - Engine & Drivetrain
UCAL,Auto Components - Engine & Drivetrain
EUROTEXIND,Textiles - Weaving & Fabric
AARTIIND,Specialty Chemicals - Intermediates
DMCC,Specialty Chemicals - Diversified
AERONEU,Flexible & Film Packaging
ADVAIT,Solar & Renewable Equipment
YUKEN,Industrial Pumps
BANKINDIA,PSU Banks - Mid Cap
GAUDIUMIVF,Healthcare Service Provider - Fertility & Wellness
NEPHROPLUS,Healthcare Service Provider - Dialysis & Renal
SASTASUNDR,Healthcare Service Provider - Pharmacy & Retail

# ── Industrial Products → split by product focus ─────────────────────────────
# Industrial Machinery & Machine Tools
JYOTICNC,Industrial Machinery & Machine Tools
LOKESHMACH,Industrial Machinery & Machine Tools
MACPOWER,Industrial Machinery & Machine Tools
LMW,Industrial Machinery & Machine Tools
KABRAEXTRU,Industrial Machinery & Machine Tools
RAJOOENG,Industrial Machinery & Machine Tools
WINDMACHIN,Industrial Machinery & Machine Tools
MANUGRAPH,Industrial Machinery & Machine Tools
MAMATA,Industrial Machinery & Machine Tools
GUJAPOLLO,Industrial Machinery & Machine Tools
EIMCOELECO,Industrial Machinery & Machine Tools
RVTH,Industrial Machinery & Machine Tools
AARON,Industrial Machinery & Machine Tools
MAHEPC,Industrial Machinery & Machine Tools

# Process Equipment & Engineering
ANUP,Process Equipment & Engineering
LLOYDSENGG,Process Equipment & Engineering
GMMPFAUDLR,Process Equipment & Engineering
HLEGLAS,Process Equipment & Engineering
ATAM,Process Equipment & Engineering
JASH,Process Equipment & Engineering
DEEDEV,Process Equipment & Engineering
JNKINDIA,Process Equipment & Engineering
MAZDA,Process Equipment & Engineering
PRAJIND,Process Equipment & Engineering
WALCHANNAG,Process Equipment & Engineering
EKC,Process Equipment & Engineering
GALAPREC,Process Equipment & Engineering
UNIDT,Process Equipment & Engineering

# Material Handling & Wear Solutions
BAJAJINDEF,Material Handling & Wear Solutions
CROWN,Material Handling & Wear Solutions
INTLCONV,Material Handling & Wear Solutions
SOMICONVEY,Material Handling & Wear Solutions
TRF,Material Handling & Wear Solutions
TEGA,Material Handling & Wear Solutions
THEJO,Material Handling & Wear Solutions

# Building Products & Prefab
INDIANHUME,Building Products & Prefab
PENIND,Building Products & Prefab
EPACKPEB,Building Products & Prefab

# Industrial Automation & Electronics
HONAUT,Industrial Automation & Electronics
AFFORDABLE,Industrial Automation & Electronics
CPPLUS,Industrial Automation & Electronics
HIRECT,Industrial Automation & Electronics
HPL,Industrial Automation & Electronics
MARINE,Industrial Automation & Electronics
PITTIENG,Industrial Automation & Electronics
SPECTRUM,Industrial Automation & Electronics
DYNAMATECH,Industrial Automation & Electronics
DUCON,Industrial Automation & Electronics

# Other Industrial Products
HONDAPOWER,Other Industrial Products
ICEMAKE,Other Industrial Products
KANORICHEM,Other Industrial Products
OMNI,Other Industrial Products
PREMIER,Other Industrial Products
RAYMOND,Other Industrial Products
SETL,Other Industrial Products

# ── Other Industrial Products (NSE group) → keep as-is ──────────────────────
ADOR,Other Industrial Products
BEARDSELL,Other Industrial Products
DELTAMAGNT,Other Industrial Products
DIFFNKG,Other Industrial Products
ESABINDIA,Other Industrial Products
HARSHA,Other Industrial Products
HBLENGINE,Other Industrial Products
INOXINDIA,Other Industrial Products
KIRLOSIND,Other Industrial Products
KRN,Other Industrial Products
MALLCOM,Other Industrial Products
MICEL,Other Industrial Products
PTCIL,Other Industrial Products
SAHASRA,Other Industrial Products
SUBROS,Other Industrial Products

# ── Garments & Apparels → split by segment ────────────────────────────────────
# Branded Apparel - Premium
PAGEIND,Branded Apparel - Premium
MONTECARLO,Branded Apparel - Premium
LUXIND,Branded Apparel - Premium
DOLLAR,Branded Apparel - Premium
RUPA,Branded Apparel - Premium
LOVABLE,Branded Apparel - Premium
LAXMICUT,Branded Apparel - Premium

# Branded Apparel - Value & Retail
ARVIND,Branded Apparel - Value & Retail
CANTABIL,Branded Apparel - Value & Retail
FILATFASH,Branded Apparel - Value & Retail
KITEX,Branded Apparel - Value & Retail
KKCL,Branded Apparel - Value & Retail
LIBAS,Branded Apparel - Value & Retail
JAIPURKURT,Branded Apparel - Value & Retail
SPAL,Branded Apparel - Value & Retail
VIPCLOTHNG,Branded Apparel - Value & Retail
ZODIACLOTH,Branded Apparel - Value & Retail
LAL,Branded Apparel - Value & Retail

# Garments - Export & Small
BANG,Garments - Export & Small
BELLACASA,Garments - Export & Small
CELEBRITY,Garments - Export & Small
GOKEX,Garments - Export & Small
INDTERRAIN,Garments - Export & Small
IRISDOREME,Garments - Export & Small
MITTAL,Garments - Export & Small
PGIL,Garments - Export & Small
SBC,Garments - Export & Small
SSDL,Garments - Export & Small
THOMASCOTT,Garments - Export & Small
VINNY,Garments - Export & Small
VIVIDHA,Garments - Export & Small

# ── Stockbroking & Allied → split by size ─────────────────────────────────────
# Stockbroking - Large & Mid
360ONE,Stockbroking - Large & Mid
ANGELONE,Stockbroking - Large & Mid
MOTILALOFS,Stockbroking - Large & Mid
NUVAMA,Stockbroking - Large & Mid
GROWW,Stockbroking - Large & Mid
IIFLCAPS,Stockbroking - Large & Mid
5PAISA,Stockbroking - Large & Mid

# Stockbroking - Small & Niche
ALMONDZ,Stockbroking - Small & Niche
ARIHANTCAP,Stockbroking - Small & Niche
ARSSBL,Stockbroking - Small & Niche
BIRLAMONEY,Stockbroking - Small & Niche
DAMCAPITAL,Stockbroking - Small & Niche
DBSTOCKBRO,Stockbroking - Small & Niche
DOLATALGO,Stockbroking - Small & Niche
EMKAY,Stockbroking - Small & Niche
GEOJITFSL,Stockbroking - Small & Niche
HYBRIDFIN,Stockbroking - Small & Niche
INDBANK,Stockbroking - Small & Niche
INDOTHAI,Stockbroking - Small & Niche
INVENTURE,Stockbroking - Small & Niche
KEYFINSERV,Stockbroking - Small & Niche
KHANDSE,Stockbroking - Small & Niche
MASTERTR,Stockbroking - Small & Niche
MONARCH,Stockbroking - Small & Niche
ONELIFECAP,Stockbroking - Small & Niche
SHAREINDIA,Stockbroking - Small & Niche
SMCGLOBAL,Stockbroking - Small & Niche
STEELCITY,Stockbroking - Small & Niche
SYSTMTXC,Stockbroking - Small & Niche

# ── Gems Jewellery And Watches → split ───────────────────────────────────────
# Jewellery - Branded Retail
TITAN,Jewellery - Branded Retail
KALYANKJIL,Jewellery - Branded Retail
PNGJL,Jewellery - Branded Retail
PNGSREVA,Jewellery - Branded Retail
SENCO,Jewellery - Branded Retail
TBZ,Jewellery - Branded Retail
PCJEWELLER,Jewellery - Branded Retail
BLUESTONE,Jewellery - Branded Retail
DPABHUSHAN,Jewellery - Branded Retail
THANGAMAYL,Jewellery - Branded Retail

# Jewellery - Export & Manufacturing
RAJESHEXPO,Jewellery - Export & Manufacturing
GOLDIAM,Jewellery - Export & Manufacturing
VAIBHAVGBL,Jewellery - Export & Manufacturing
BANARBEADS,Jewellery - Export & Manufacturing
KANANIIND,Jewellery - Export & Manufacturing
LYPSAGEMS,Jewellery - Export & Manufacturing
MOKSH,Jewellery - Export & Manufacturing
MOTISONS,Jewellery - Export & Manufacturing
MVGJL,Jewellery - Export & Manufacturing
RADHIKAJWE,Jewellery - Export & Manufacturing
RBZJEWEL,Jewellery - Export & Manufacturing
RGL,Jewellery - Export & Manufacturing
SHANTIGOLD,Jewellery - Export & Manufacturing
SHRINGARMS,Jewellery - Export & Manufacturing
SILGO,Jewellery - Export & Manufacturing
SKYGOLD,Jewellery - Export & Manufacturing

# Watches & Luxury Accessories
ETHOSLTD,Watches & Luxury Accessories
KDDL,Watches & Luxury Accessories
LGHL,Watches & Luxury Accessories

# ── Logistics Solution Provider → split ──────────────────────────────────────
# Logistics - Express & Last Mile
BLUEDART,Logistics - Express & Last Mile
DELHIVERY,Logistics - Express & Last Mile
SHADOWFAX,Logistics - Express & Last Mile
TIGERLOGS,Logistics - Express & Last Mile
PATINTLOG,Logistics - Express & Last Mile

# Logistics - Freight & Warehousing
ALLCARGO,Logistics - Freight & Warehousing
CONCOR,Logistics - Freight & Warehousing
GATEWAY,Logistics - Freight & Warehousing
NAVKARCORP,Logistics - Freight & Warehousing
SNOWMAN,Logistics - Freight & Warehousing
TCI,Logistics - Freight & Warehousing
TCIEXP,Logistics - Freight & Warehousing
VRLLOG,Logistics - Freight & Warehousing
TREL,Logistics - Freight & Warehousing

# Logistics - Small & Niche
ACCURACY,Logistics - Small & Niche
ASPINWALL,Logistics - Small & Niche
AVG,Logistics - Small & Niche
GLOTTIS,Logistics - Small & Niche
JETFREIGHT,Logistics - Small & Niche
MAHLOG,Logistics - Small & Niche
NECCLTD,Logistics - Small & Niche
OBCL,Logistics - Small & Niche
OMFREIGHT,Logistics - Small & Niche
RIIL,Logistics - Small & Niche
RITCO,Logistics - Small & Niche
SVLL,Logistics - Small & Niche
TOTAL,Logistics - Small & Niche
WCIL,Logistics - Small & Niche

# ── Sugar → single group (keep as-is, sector is small enough) ────────────────
AVADHSUGAR,Sugar
BAJAJHIND,Sugar
BALRAMCHIN,Sugar
BANARISUG,Sugar
DALMIASUG,Sugar
DBOL,Sugar
DCMSRIND,Sugar
DHAMPURSUG,Sugar
DWARKESH,Sugar
KCPSUGIND,Sugar
KMSUGAR,Sugar
KOTARISUG,Sugar
MAGADSUGAR,Sugar
MAWANASUG,Sugar
PONNIERODE,Sugar
PRUDMOULI,Sugar
RAJSREESUG,Sugar
RANASUG,Sugar
RENUKA,Sugar
SAKHTISUG,Sugar
TRIVENI,Sugar
UGARSUGAR,Sugar
UTTAMSUGAR,Sugar
VISHWARAJ,Sugar
ZUARIIND,Sugar

# ── Power Generation → split by fuel/source ──────────────────────────────────
# Power - Thermal / Conventional
NTPC,Power - Thermal & Conventional
NHPC,Power - Thermal & Conventional
NLCINDIA,Power - Thermal & Conventional
JSWENERGY,Power - Thermal & Conventional
JPPOWER,Power - Thermal & Conventional
RPOWER,Power - Thermal & Conventional
RTNPOWER,Power - Thermal & Conventional
SJVN,Power - Thermal & Conventional
GIPCL,Power - Thermal & Conventional
GMRP&UI,Power - Thermal & Conventional
NAVA,Power - Thermal & Conventional
ENERGYDEV,Power - Thermal & Conventional
KARMAENG,Power - Thermal & Conventional
SURANAT&P,Power - Thermal & Conventional
UEL,Power - Thermal & Conventional
KPEL,Power - Thermal & Conventional

# Power - Renewable / Green
ADANIGREEN,Power - Renewable & Green
NTPCGREEN,Power - Renewable & Green
ACMESOLAR,Power - Renewable & Green
CLEANMAX,Power - Renewable & Green
GREENPOWER,Power - Renewable & Green
INDOWIND,Power - Renewable & Green
KPIGREEN,Power - Renewable & Green

# ── Aerospace & Defense → split ──────────────────────────────────────────────
# Defense - Large Cap
HAL,Defense - Large Cap
BEL,Defense - Large Cap
BDL,Defense - Large Cap

# Defense - Mid Cap & Shipbuilding
GRSE,Defense - Shipbuilding & Naval
MIDHANI,Defense - Materials & Alloys
DATAPATTNS,Defense - Electronics & Systems
AVANTEL,Defense - Electronics & Systems
CENTUM,Defense - Electronics & Systems
ASTRAMICRO,Defense - Electronics & Systems
DCXINDIA,Defense - Electronics & Systems

# Aerospace & Defense - Small & Niche
AEQUS,Aerospace & Defense - Small & Niche
APOLLO,Aerospace & Defense - Small & Niche
AXISCADES,Aerospace & Defense - Small & Niche
CYIENTDLM,Aerospace & Defense - Small & Niche
IDEAFORGE,Aerospace & Defense - Small & Niche
JAYKAY,Aerospace & Defense - Small & Niche
KRISHNADEF,Aerospace & Defense - Small & Niche
NIBE,Aerospace & Defense - Small & Niche
PARAS,Aerospace & Defense - Small & Niche
ROSSTECH,Aerospace & Defense - Small & Niche
SIGMAADV,Aerospace & Defense - Small & Niche
