nse_ticker,sector,industry,basic_industry,notes
EMAMIPAP,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products,nse_official
EMAMIREAL,Realty,Realty,Residential Commercial Projects,nse_official
EMBASSY,Realty,Realty,Real Estate Investment Trusts (REITs),nse_official
EMCURE,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
EMGDELTA,Infra,EPC & Construction,,
EMIL,Consumer Services,Retailing,Diversified Retail,nse_official
EMKAY,Financial Services,Capital Markets,Stockbroking & Allied,nse_official
EMMBI,Capital Goods,Industrial Products,Packaging,nse_official
EMMVEE,Capital Goods,Electrical Equipment,Other Electrical Equipment,nse_official
EMSLIMITED,Utilities,Other Utilities,Waste Management,nse_official
EMUDHRA,Information Technology,IT - Services,IT Enabled Services,nse_official
ENCUBE,Pharma,Pharma Contract Mfg,,CDMO pharmaceutical
ENDURANCE,Automobile and Auto Components,Auto Components,Auto Components & Equipments,nse_official
ENERGYDEV,Power,Power,Power Generation,nse_official
ENGINERSIN,Construction,Construction,Civil Construction,nse_official
ENIL,Media Entertainment & Publication,Entertainment,Media & Entertainment,nse_official
ENRIN,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,nse_official
ENTERO,Consumer Services,Retailing,Pharmacy Retail,nse_official
EPACK,Consumer Durables,Consumer Durables,Household Appliances,nse_official
EPACKPEB,Capital Goods,Industrial Manufacturing,Industrial Products,nse_official
EPIGRAL,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
EPL,Capital Goods,Industrial Products,Packaging,nse_official
EQUINOX,IT,IT Services,,
EQUITASBNK,Financial Services,Banks,Other Bank,nse_official
ERIS,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
EROS,Consumer,Media & Entertainment,,
EROSMEDIA,Media Entertainment & Publication,Entertainment,Film Production Distribution & Exhibition,nse_official
ESAB,Cap Goods,Engineering,,
ESABINDIA,Capital Goods,Industrial Products,Other Industrial Products,nse_official
ESAFSFB,Financial Services,Banks,Other Bank,nse_official
ESCORIT,Shipping,Shipping,,
ESCORTS,Capital Goods,Agricultural Commercial & Construction Vehicles,Tractors,nse_official
ESGL,Shipping,Shipping,,
ESSARSHPNG,Services,Transport Services,Shipping,nse_official
ESSENTIA,Services,Commercial Services & Supplies,Trading & Distributors,nse_official
ESTER,Capital Goods,Industrial Products,Packaging,nse_official
ETERNAL,Consumer Services,Retailing,E-Retail/ E-Commerce,nse_official
ETHNIX,Textiles,Consumer Retail - Apparel,,
ETHOSLTD,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,nse_official
EUREKAFORB,Consumer Durables,Consumer Durables,Household Appliances,nse_official
EUROBOND,Capital Goods,Industrial Products,Aluminium Copper & Zinc Products,nse_official
EUROPRATIK,Consumer Durables,Consumer Durables,Furniture Home Furnishing,nse_official
EUROTEXIND,Textiles,Textiles & Apparels,Other Textile Products,nse_official
EVEREADY,Fast Moving Consumer Goods,Household Products,Household Products,nse_official
EVERESTIND,Construction Materials,Other Construction Materials,Other Construction Materials,nse_official
EXCEL,Chemicals,Specialty Chemicals,,manual
EXCELINDUS,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
EXCELSOFT,Information Technology,IT - Services,IT Enabled Services,nse_official
EXICOM,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,nse_official
EXIDEIND,Automobile and Auto Components,Auto Components,Auto Components & Equipments,nse_official
EXPERION,RealEstate,Real Estate - Residential,,
EXPLEOSOL,Information Technology,IT - Services,IT Enabled Services,nse_official
EXXARO,Consumer Durables,Consumer Durables,Ceramics,nse_official
FABTECH,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies,nse_official
FACORALL,Metals,Aluminium,,
FACT,Chemicals,Fertilizers & Agrochemicals,Fertilizers,nse_official
FAIRCHEM,Chemicals,Specialty Chemicals,,
FAIRCHEMOR,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
FCL,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
FCSSOFT,Information Technology,IT - Services,IT Enabled Services,nse_official
FDC,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
FEDERALBNK,Financial Services,Banks,Private Sector Bank,nse_official
FEDFINA,Financial Services,Finance,Non Banking Financial Company (NBFC),nse_official
FEVICOL,Consumer,Adhesives & Chemicals,,
FIEM,Auto,Auto Ancillaries,,
FIEMIND,Automobile and Auto Components,Auto Components,Auto Components & Equipments,nse_official
FILATEX,Textiles,Textiles & Apparels,Other Textile Products,nse_official
FILATFASH,Textiles,Textiles & Apparels,Garments & Apparels,nse_official
FINCABLES,Capital Goods,Industrial Products,Cables - Electricals,nse_official
FINEORG,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
FINEOTEX,Chemicals,Specialty Chemicals,,
FINKURVE,Financial Services,Finance,Non Banking Financial Company (NBFC),nse_official
FINOLEX,Cables,Cables & Wires,,
FINOPB,Financial Services,Banks,Other Bank,nse_official
FINPIPE,Capital Goods,Industrial Products,Plastic Products - Industrial,nse_official
FIRSTCRY,Consumer Services,Retailing,E-Retail/ E-Commerce,nse_official
FISCHER,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies,nse_official
FIVESTAR,Financial Services,Finance,Non Banking Financial Company (NBFC),nse_official
FLAIR,Fast Moving Consumer Goods,Household Products,Stationary,nse_official
FLEXITUFF,Textiles,Textiles & Apparels,Other Textile Products,nse_official
FLUOROCHEM,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
FMGOETZE,Automobile and Auto Components,Auto Components,Auto Components & Equipments,nse_official
FMNL,Services,Commercial Services & Supplies,Diversified Commercial Services,nse_official
FOCUS,Consumer Durables,Consumer Durables,Consumer Electronics,nse_official
FOODSIN,Fast Moving Consumer Goods,Food Products,Packaged Foods,nse_official
FORCEMOT,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,nse_official
FORTIS,Healthcare,Healthcare Services,Hospital,nse_official
FOSECOIND,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
FRACTAL,Information Technology,IT - Software,Computers - Software & Consulting,nse_official
FSL,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),nse_official
FSS,IT,Fintech Software,,
FUSION,Financial Services,Finance,Microfinance Institutions,nse_official
GABRIEL,Automobile and Auto Components,Auto Components,Auto Components & Equipments,nse_official
GAEL,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,nse_official
GAIL,Oil Gas & Consumable Fuels,Gas,Gas Transmission/Marketing,nse_official
GALAPREC,Capital Goods,Industrial Manufacturing,Industrial Products,nse_official
GALAXYSURF,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
GALLANTT,Capital Goods,Industrial Products,Iron & Steel Products,nse_official
GANDHAR,Oil Gas & Consumable Fuels,Petroleum Products,Lubricants,nse_official
GANDHITUBE,Capital Goods,Industrial Products,Iron & Steel Products,nse_official
GANECOS,Textiles,Textiles & Apparels,Other Textile Products,nse_official
GANESHA,Textiles,Technical Textiles,,
GANESHBE,Oil Gas & Consumable Fuels,Oil,Oil Storage & Transportation,nse_official
GANESHCP,Fast Moving Consumer Goods,Food Products,Packaged Foods,nse_official
GANESHHOU,Realty,Realty,Residential Commercial Projects,nse_official
GANGAFORGE,Capital Goods,Industrial Products,Castings & Forgings,nse_official
GANGESSECU,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee,nse_official
GARFIBRES,Textiles,Textiles & Apparels,Other Textile Products,nse_official
GARMENTSIND,Textiles,Garments,,
GARUDA,Construction,Construction,Civil Construction,nse_official
GARWARE,Textiles,Textiles - Technical,,
GATECH,Financial Services,Finance,Other Financial Services,nse_official
GATECHDVR,Financial Services,Finance,Other Financial Services,nse_official
GATEWAY,Services,Transport Services,Logistics Solution Provider,nse_official
GATI,Infra,Logistics,,
GAUDIUMIVF,Healthcare,Healthcare Services,Healthcare Service Provider,nse_official
GAYAHWS,Services,Transport Infrastructure,Road Assets - Toll Annuity Hybrid-Annuity,nse_official
GE SHIPPING,Shipping,Shipping,,
GEECEE,Realty,Realty,Residential Commercial Projects,nse_official
GEEKAYWIRE,Capital Goods,Industrial Products,Iron & Steel Products,nse_official
GENCON,Realty,Realty,Residential Commercial Projects,nse_official
GENESYS,Information Technology,IT - Services,IT Enabled Services,nse_official
GENUS,Cables,Energy Meters,,Smart metering solutions
GENUSPAPER,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products,nse_official
GENUSPOWER,Capital Goods,Electrical Equipment,Other Electrical Equipment,nse_official
GEOJITFSL,Financial Services,Capital Markets,Stockbroking & Allied,nse_official
GEPIL,Cap Goods,Specialty Chemicals,,
GESHIP,Services,Transport Services,Shipping,nse_official
GFLLIMITED,Financial Services,Finance,Holding Company,nse_official
GHCL,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,nse_official
GHCLTEXTIL,Textiles,Textiles & Apparels,Other Textile Products,nse_official
GICHSGFIN,Financial Services,Finance,Housing Finance Company,nse_official
GICRE,Financial Services,Insurance,General Insurance,nse_official
GILLANDERS,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee,nse_official
GILLETTE,Fast Moving Consumer Goods,Personal Products,Personal Care,nse_official
GINNIFILA,Textiles,Textiles & Apparels,Other Textile Products,nse_official
GIPCL,Power,Power,Power Generation,nse_official
GKENERGY,Construction,Construction,Civil Construction,nse_official
GKSL,Healthcare,Healthcare Services,Hospital,nse_official
GKWLIMITED,Financial Services,Finance,Investment Company,nse_official
GLAND,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
GLAXO,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
GLENMARK,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
GLOBAL,Consumer Services,Other Consumer Services,Education,nse_official
GLOBALE,Textiles,Textiles & Apparels,Trading - Textile Products,nse_official
GLOBALVECT,Services,Transport Services,Airline,nse_official
GLOBE,Textiles,Textiles & Apparels,Other Textile Products,nse_official
GLOBECIVIL,Construction,Construction,Civil Construction,nse_official
GLOBUSSPR,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,nse_official
GLOSTERLTD,Forest Materials,Paper Forest & Jute Products,Jute & Jute Products,nse_official
GLOTTIS,Services,Transport Services,Logistics Solution Provider,nse_official
GMBREW,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,nse_official
GMDC,Metals,Coal & Mining,,
GMDCLTD,Metals & Mining,Minerals & Mining,Industrial Minerals,nse_official
GMMPFAUDLR,Capital Goods,Industrial Manufacturing,Industrial Products,nse_official
GMRAIRPORT,Services,Transport Infrastructure,Airport & Airport services,nse_official
GMRINFRA,Infra,Construction - Infra,,
GMRP&UI,Power,Power,Power Generation,nse_official
GNA,Automobile and Auto Components,Auto Components,Auto Components & Equipments,nse_official
GNFC,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,nse_official
GOA,Cap Goods,Shipbuilding,,
GOACARBON,Metals & Mining,Minerals & Mining,Industrial Minerals,nse_official
GOCLCORP,Chemicals,Chemicals & Petrochemicals,Explosives,nse_official
GOCOLORS,Consumer Services,Retailing,Speciality Retail,nse_official
GODAVARIB,Fast Moving Consumer Goods,Diversified FMCG,Diversified FMCG,nse_official
GODFREY,Consumer,Tobacco,,
GODFRYPHLP,Fast Moving Consumer Goods,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products,nse_official
GODIGIT,Financial Services,Insurance,General Insurance,nse_official
GODREJAGRO,Fast Moving Consumer Goods,Food Products,Animal Feed,nse_official
GODREJAP,Consumer,Home Appliances,,
GODREJCP,Fast Moving Consumer Goods,Personal Products,Personal Care,nse_official
GODREJFIN,Financials,NBFC,,
GODREJIND,Diversified,Diversified,Diversified,nse_official
GODREJPROP,Realty,Realty,Residential Commercial Projects,nse_official
GOKALDAS,Textiles,Textiles - Apparel,,
GOKEX,Textiles,Textiles & Apparels,Garments & Apparels,nse_official
GOKUL,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,nse_official
GOKULAGRO,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,nse_official
GOLDBEES,Financial Services,Capital Markets,Mutual Fund Scheme,nse_official
GOLDENKA,Renewable,Solar Modules,,
GOLDI,Renewable,Solar Panels,,
GOLDIAM,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,nse_official
GOLDTECH,Information Technology,IT - Software,Software Products,nse_official
GOODLUCK,Capital Goods,Industrial Products,Iron & Steel Products,nse_official
GOPAL,Fast Moving Consumer Goods,Food Products,Packaged Foods,nse_official
GOVAL,Metals,Steel,,
GPIL,Capital Goods,Industrial Products,Iron & Steel Products,nse_official
GPPL,Services,Transport Infrastructure,Port & Port services,nse_official
GPT,Cap Goods,Railway,,
GPTHEALTH,Healthcare,Healthcare Services,Hospital,nse_official
GPTINFRA,Construction,Construction,Civil Construction,nse_official
GRANULES,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
GRAPHITE,Capital Goods,Industrial Products,Electrodes & Refractories,nse_official
GRASIM,Construction Materials,Cement & Cement Products,Cement & Cement Products,nse_official
GRAVITA,Metals & Mining,Minerals & Mining,Industrial Minerals,nse_official
GREAVES,Auto,Auto Components,,
GREAVESCOT,Capital Goods,Industrial Products,Compressors Pumps & Diesel Engines,nse_official
GREENKO,Renewable,Solar IPP,,
GREENLAM,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates,nse_official
GREENLAMIND,Consumer,Wood & Laminates,,
GREENPANEL,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates,nse_official
GREENPLY,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates,nse_official
GREENPOWER,Power,Power,Power Generation,nse_official
GRINDMASTER,Cap Goods,Industrial Machinery,,
GRINDWELL,Capital Goods,Industrial Products,Abrasives & Bearings,nse_official
GRINFRA,Construction,Construction,Civil Construction,nse_official
GRMOVER,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,nse_official
GROBTEA,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee,nse_official
GROWW,Financial Services,Capital Markets,Stockbroking & Allied,nse_official
GRPLTD,Capital Goods,Industrial Products,Rubber,nse_official
GRSE,Capital Goods,Aerospace & Defense,Aerospace & Defense,nse_official
GRUH,FINANCIAL SERVICES,FINANCE,HOUSING FINANCE,nse_official
GRWRHITECH,Capital Goods,Industrial Products,Plastic Products - Industrial,nse_official
GSFC,Chemicals,Fertilizers & Agrochemicals,Fertilizers,nse_official
GSLSU,Consumer Durables,Consumer Durables,Granites & Marbles,nse_official
GSPL,Oil Gas & Consumable Fuels,Gas,Gas Transmission/Marketing,nse_official
GSS,Information Technology,IT - Services,IT Enabled Services,nse_official
GTECJAINX,Consumer Services,Other Consumer Services,E-Learning,nse_official
GTL,Telecommunication,Telecom - Services,Other Telecom Services,nse_official
GTLINFRA,Telecommunication,Telecom - Services,Telecom - Infrastructure,nse_official
GTPL,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production,nse_official
GUFICBIO,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
GUJALKALI,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,nse_official
GUJAPOLLO,Capital Goods,Industrial Manufacturing,Industrial Products,nse_official
GUJARATGAS,Energy,Gas Distribution,,
GUJFLUORO,Chemicals,Specialty Chemicals - Fluorine,,
GUJGAS,Energy,City Gas Distribution,,
GUJGASLTD,Oil Gas & Consumable Fuels,Gas,LPG/CNG/PNG/LNG Supplier,nse_official
GUJNREGAS,Energy,Gas Distribution,,
GUJRAFFIA,Capital Goods,Industrial Products,Packaging,nse_official
GUJRATGAS,OIL & GAS,GAS,LPG/CNG/PNG/LNG SUPPLIER,nse_official
GUJTHEM,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
GULFOILLUB,Oil Gas & Consumable Fuels,Petroleum Products,Lubricants,nse_official
GULFPETRO,Oil Gas & Consumable Fuels,Petroleum Products,Lubricants,nse_official
GULPOLY,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,nse_official
GVK,Infra,Airports,,
GVKPIL,Construction,Construction,Civil Construction,nse_official
GVPTECH,Information Technology,IT - Services,IT Enabled Services,nse_official
GVT&D,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,nse_official
HAL,Capital Goods,Aerospace & Defense,Aerospace & Defense,nse_official
HALDER,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,nse_official
HALEOSLABS,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
HALONIX,Consumer,Electrical Equipment,,
HAPPSTMNDS,Information Technology,IT - Software,Computers - Software & Consulting,nse_official
HAPPYFORGE,Capital Goods,Industrial Products,Castings & Forgings,nse_official
HARIOM,Metals,Steel,,
HARIOMPIPE,Capital Goods,Industrial Products,Iron & Steel Products,nse_official
HARRMALAYA,Capital Goods,Industrial Products,Rubber,nse_official
HARSHA,Capital Goods,Industrial Products,Other Industrial Products,nse_official
HATHWAY,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production,nse_official
HATSUN,Fast Moving Consumer Goods,Food Products,Dairy Products,nse_official
HAVELLS,Consumer Durables,Consumer Durables,Consumer Electronics,nse_official
HAVISHA,Consumer Services,Leisure Services,Hotels & Resorts,nse_official
HAWKINS,Consumer,Pressure Cookers,,
HBLENGINE,Capital Goods,Industrial Products,Other Industrial Products,nse_official
HBLPOWER,Auto,Batteries,,
HBSL,Financial Services,Finance,Non Banking Financial Company (NBFC),nse_official
HCALPIPES,Cap Goods,Pipes,,
HCC,Construction,Construction,Civil Construction,nse_official
HCG,Healthcare,Healthcare Services,Hospital,nse_official
HCL-INSYS,Information Technology,IT - Hardware,Computers Hardware & Equipments,nse_official
HCLINFOSYS,IT,IT Services,,
HCLTECH,Information Technology,IT - Software,Computers - Software & Consulting,nse_official
HDBFS,Financial Services,Finance,Non Banking Financial Company (NBFC),nse_official
HDFCAMC,Financial Services,Capital Markets,Asset Management Company,nse_official
HDFCBANK,Financial Services,Banks,Private Sector Bank,nse_official
HDFCLIFE,Financial Services,Insurance,Life Insurance,nse_official
HEADSUP,Textiles,Textiles & Apparels,Trading - Textile Products,nse_official
HEALTHCARE,Financial Services,Capital Markets,Mutual Fund Scheme,nse_official
HEALTHSPRING,Pharma,Healthcare IT,,
HEALTHSRC,Pharma,Diagnostics,,
HECPROJECT,Construction,Construction,Civil Construction,nse_official
HEG,Capital Goods,Industrial Products,Electrodes & Refractories,nse_official
HEIDELBERG,Construction Materials,Cement & Cement Products,Cement & Cement Products,nse_official
HEMIPROP,Services,Commercial Services & Supplies,Diversified Commercial Services,nse_official
HERANBA,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,nse_official
HERITGFOOD,Fast Moving Consumer Goods,Food Products,Dairy Products,nse_official
HERO,Auto,Auto OEM - 2W,,
HEROHONDA,Auto,Auto OEM - 2W,,
HEROMOTOCO,Automobile and Auto Components,Automobiles,2/3 Wheelers,nse_official
HESTER,Pharma,Pharma Formulations,,
HESTERBIO,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
HEXATRADEX,Financial Services,Finance,Investment Company,nse_official
HEXAWARE,IT,SOFTWARE,COMPUTERS - SOFTWARE,nse_official
HEXT,Information Technology,IT - Software,Computers - Software & Consulting,nse_official
HFCL,Telecommunication,Telecom - Services,Telecom - Infrastructure,nse_official
HG INFRA,Infra,Construction & Engineering,,
HGINFRA,Construction,Construction,Civil Construction,nse_official
HGM,Information Technology,IT - Services,IT Enabled Services,nse_official
HGS,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),nse_official
HIKAL,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
HILINFRA,Services,Transport Infrastructure,Road Assets - Toll Annuity Hybrid-Annuity,nse_official
HILTON,Capital Goods,Industrial Products,Castings & Forgings,nse_official
HIMALAYA,Consumer,FMCG - Personal Care,,
HIMATSEIDE,Textiles,Textiles & Apparels,Other Textile Products,nse_official
HINDALCO,Metals & Mining,Non - Ferrous Metals,Aluminium,nse_official
HINDALCOIND,Metals,Aluminium,,
HINDCOMPOS,Automobile and Auto Components,Auto Components,Auto Components & Equipments,nse_official
HINDCON,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
HINDCOPPER,Metals & Mining,Non - Ferrous Metals,Copper,nse_official
HINDMOTORS,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,nse_official
HINDOILEXP,Oil Gas & Consumable Fuels,Oil,Oil Exploration & Production,nse_official
HINDPETRO,Oil Gas & Consumable Fuels,Petroleum Products,Refineries & Marketing,nse_official
HINDPOW,Metals,Ferro Alloys,,
HINDUCOPPER,Metals,Copper,,
HINDUNILVR,Fast Moving Consumer Goods,Diversified FMCG,Diversified FMCG,nse_official
HINDUSTAN,Chemicals,Specialty Chemicals,,
HINDWARE,Consumer,Sanitaryware,,
HINDWAREAP,Consumer Durables,Consumer Durables,Sanitary Ware,nse_official
HINDZINC,Metals & Mining,Non - Ferrous Metals,Zinc,nse_official
HIRECT,Capital Goods,Industrial Manufacturing,Industrial Products,nse_official
HISAR,Metals,Steel,,
HISARMET,Metals,Steel,,
HISARMETAL,Capital Goods,Industrial Products,Iron & Steel Products,nse_official
HITECH,Capital Goods,Industrial Products,Iron & Steel Products,nse_official
HITECHCORP,Capital Goods,Industrial Products,Packaging,nse_official
HLEGLAS,Capital Goods,Industrial Manufacturing,Industrial Products,nse_official
HLVLTD,Consumer Services,Leisure Services,Hotels & Resorts,nse_official
HMAAGRO,Fast Moving Consumer Goods,Food Products,Meat Products including Poultry,nse_official
HMVL,Media Entertainment & Publication,Media,Print Media,nse_official
HNDFDS,Fast Moving Consumer Goods,Diversified FMCG,Diversified FMCG,nse_official
HOMEFIRST,Financial Services,Finance,Housing Finance Company,nse_official
HONASA,Fast Moving Consumer Goods,Personal Products,Personal Care,nse_official
HONAUT,Capital Goods,Industrial Manufacturing,Industrial Products,nse_official
HONDAPOWER,Capital Goods,Industrial Manufacturing,Industrial Products,nse_official
HPAL,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
HPCL,Energy,Oil Refining,,
HPIL,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments,nse_official
HPL,Capital Goods,Industrial Manufacturing,Industrial Products,nse_official
HSCL,Chemicals,Chemicals & Petrochemicals,Carbon Black,nse_official
HSIL,Consumer,Sanitaryware,,
HTMEDIA,Media Entertainment & Publication,Media,Print Media,nse_official
HUBTOWN,Realty,Realty,Residential Commercial Projects,nse_official
HUDCO,Financial Services,Finance,Financial Institution,nse_official
HUHTAMAKI,Capital Goods,Industrial Products,Packaging,nse_official
HYBRIDFIN,Financial Services,Capital Markets,Stockbroking & Allied,nse_official
HYUNDAI,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,nse_official
IBREALEST,RealEstate,Real Estate - Commercial,,
IBULHSGFIN,Financials,Housing Finance,,
IBULLSLTD,Services,Commercial Services & Supplies,Diversified Commercial Services,nse_official
ICEMAKE,Capital Goods,Industrial Manufacturing,Industrial Products,nse_official
ICICIAMC,Financial Services,Capital Markets,Asset Management Company,nse_official
ICICIBANK,Financial Services,Banks,Private Sector Bank,nse_official
ICICIGI,Financial Services,Insurance,General Insurance,nse_official
ICICILOMBRD,Financials,Insurance,,
ICICIPRAMC,Financials,Asset Management,,
ICICIPRU,Financials,Life Insurance,,
ICICIPRULI,Financial Services,Insurance,Life Insurance,nse_official
ICICISEC,Financials,Stock Broking,,
ICIL,Textiles,Textiles & Apparels,Other Textile Products,nse_official
ICRA,Financial Services,Capital Markets,Ratings,nse_official
IDBI,Financial Services,Banks,Private Sector Bank,nse_official
IDEA,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services,nse_official
IDEAFORGE,Capital Goods,Aerospace & Defense,Aerospace & Defense,nse_official
IDFC,Financial Services,Finance,Holding Company,nse_official
IDFCFIRSTB,Financial Services,Banks,Private Sector Bank,nse_official
IEX,Financial Services,Capital Markets,Exchange and Data Platform,nse_official
IFBAGRO,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,nse_official
IFBIND,Consumer Durables,Consumer Durables,Household Appliances,nse_official
IFCI,Financial Services,Finance,Financial Institution,nse_official
IFFCO,Agri,Fertilisers,,
IFGL,Metals,Refractories,,
IFGLEXPOR,Capital Goods,Industrial Products,Electrodes & Refractories,nse_official
IGARASHI,Automobile and Auto Components,Auto Components,Auto Components & Equipments,nse_official
IGCL,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,nse_official
IGIL,Services,Commercial Services & Supplies,Diversified Commercial Services,nse_official
IGL,Oil Gas & Consumable Fuels,Gas,LPG/CNG/PNG/LNG Supplier,nse_official
IGPL,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,nse_official
IIFL,Financial Services,Finance,Non Banking Financial Company (NBFC),nse_official
IIFLCAPS,Financial Services,Capital Markets,Stockbroking & Allied,nse_official
IIFLSEC,Financials,Stock Broking,,
IITL,Financial Services,Finance,Investment Company,nse_official
IKIO,Consumer Durables,Consumer Durables,Consumer Electronics,nse_official
IKS,Information Technology,IT - Services,IT Enabled Services,nse_official
IMAGICAA,Consumer Services,Leisure Services,Amusement Parks/ Other Recreation,nse_official
IMFA,Metals & Mining,Ferrous Metals,Ferro & Silica Manganese,nse_official
IMPAL,Automobile and Auto Components,Auto Components,Trading - Auto Components,nse_official
INA,Capital Goods,Electrical Equipment,Other Electrical Equipment,nse_official
INCREDIBLE,Capital Goods,Industrial Products,Iron & Steel Products,nse_official
INDBANK,Financial Services,Capital Markets,Stockbroking & Allied,nse_official
INDEGENE,IT,Healthcare IT,,
INDGN,Healthcare,Healthcare Services,Healthcare Research Analytics & Technology,nse_official
INDHOTEL,Consumer Services,Leisure Services,Hotels & Resorts,nse_official
INDHOTELS,Consumer,Hotels,,
INDIABULL,RealEstate,Real Estate - Residential,,
INDIABULLS,FINANCIAL SERVICES,FINANCE,NBFC,nse_official
INDIACEM,Construction Materials,Cement & Cement Products,Cement & Cement Products,nse_official
INDIAGLYCO,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,nse_official
INDIAGLYCOL,Chemicals,Specialty Chemicals,,
INDIAGRID,Energy,Power Transmission,,
INDIAMART,Consumer Services,Retailing,Internet & Catalogue Retail,nse_official
INDIANB,Financial Services,Banks,Public Sector Bank,nse_official
INDIANCARD,Textiles,Textiles & Apparels,Other Textile Products,nse_official
INDIANHUME,Capital Goods,Industrial Manufacturing,Industrial Products,nse_official
INDIASHLTR,Financial Services,Finance,Housing Finance Company,nse_official
INDIGO,Services,Transport Services,Airline,nse_official
INDIGOPNTS,Consumer Durables,Consumer Durables,Paints,nse_official
INDIGRID,Power,Power,Power - Transmission,nse_official
INDIQUBE,Services,Commercial Services & Supplies,Diversified Commercial Services,nse_official
INDNIPPON,Automobile and Auto Components,Auto Components,Auto Components & Equipments,nse_official
INDOAMIN,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
INDOBORAX,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,nse_official
INDOCO,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
INDOFARM,Capital Goods,Agricultural Commercial & Construction Vehicles,Construction Vehicles,nse_official
INDORAMA,Textiles,Textiles & Apparels,Other Textile Products,nse_official
INDOSTAR,Financial Services,Finance,Non Banking Financial Company (NBFC),nse_official
INDOTECH,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,nse_official
